TITOLO;TIPO;DATA_INIZIO;TUTTO_GIORNO;ORA_INIZIO;DATA_FINE;ORA_FINE;LUOGO;FUSO_ORARIO;AVVISO_PRE_EVENTO;NOTA;DESCRIZIONE;TAGS;COMMENTO_POST;VOTO;;
Appuntamento parrucchiere;ATTIVITA;15/01/2024;;15:20;15/01/2024;17:20;Hantverkargatan 1, Karlstad, Svezia;+1;"""Conferma l'orario per l'appuntamento dal parrucchiere alle 15:20 a Karlstad.""";"""Prenotazione raccomandata. Sconto per clienti abituali.""";"""Appuntamento dal parrucchiere per un nuovo look, con consulenza di styling personalizzato.""";Bellezza, Stile;"""Visita molto efficace, il medico era attento e professionale. Ho ricevuto utili consigli sulla prevenzione.""";4;;
Visita medico generale;ATTIVITA;15/01/2024;;09:30;15/01/2024;15:12;Strada Provinciale 45, Casale Monferrato, Italia;+1;"""Ricorda di portare la tessera sanitaria per la visita medica alle 09:30 a Casale Monferrato.""";"""Parcheggio disponibile sul retro. Porta documentazione sanitaria aggiornata.""";"""Controllo annuale di routine per monitorare la salute generale, con particolare attenzione alla prevenzione.""";Salute;"""Riunione produttiva, abbiamo discusso piani interessanti per l'anno scolastico. Ottima partecipazione dei genitori.""";4;;
Serata astronomia al planetario;EVENTO;15/01/2024;;20:00;15/01/2024;23:01;Boulevard de la LibertÇ, Rennes, Francia;+1;"""Porta un binocolo per la serata astronomia al planetario alle 20:00 a Rennes.""";"""Si raccomanda di portare binocolo. Parcheggio gratuito.""";"""Serata di osservazione delle stelle al planetario, un'esperienza educativa e affascinante per tutti.""";Astronomia, Cultura, Formazione;"""La lezione di yoga era rilassante e rigenerante. L'insegnante era molto competente.""";5;;
Lezione di chitarra;ATTIVITA;16/01/2024;;16:00;16/01/2024;16:30;Rue des Chànes, Lussemburgo, Lussemburgo;+1;"""Verifica l'accordatura della chitarra per la lezione alle 16:00 a Lussemburgo.""";"""Accordatura gratuita disponibile. Parcheggio nelle vicinanze.""";"""Lezione di chitarra incentrata su tecniche base e accordi, adatta per chi inizia a suonare.""";Musica, Lezione, Formazione;"""Conferenza illuminante, ho imparato molto sulle nuove tendenze del marketing. Ottimo networking.""";4;;
Corso di cucina vegan;ATTIVITA;16/01/2024;;10:30;16/01/2024;18:30;Rue du Lac, Bruxelles, Belgio;+1;"""Prepara gli ingredienti per il corso di cucina vegan alle 10:30 a Bruxelles.""";"""Porta i tuoi utensili da cucina. Ingredienti forniti sul posto.""";"""Corso di cucina per imparare a preparare piatti vegan gustosi e salutari, con focus su ingredienti sostenibili.""";Cucina, Vegan, Salute, Formazione;"""Serata piacevole, ho scoperto nuovi libri interessanti e conosciuto appassionati lettori.""";4;;
Visita al mercato biologico;ATTIVITA;17/01/2024;;08:00;17/01/2024;09:20;F? u. 17, Szentendre, Ungheria;+1;"""Pianifica il percorso per la visita al mercato biologico alle 08:00 a Szentendre.""";"""Parcheggio nelle vicinanze. Prodotti locali e biologici in vendita.""";"""Visita al mercato biologico per acquistare prodotti freschi e locali, un'esperienza autentica e sostenibile.""";Natura, Salute;"""Festa di compleanno divertentissima, ottima organizzazione e atmosfera festosa. Tutti si sono divertiti.""";5;;
Riunione scolastica;ATTIVITA;17/01/2024;;15:45;17/01/2024;16:42;Schulweg 5, Dornbirn, Austria;+1;"""Prepara i documenti per la riunione scolastica di domani alle 15:45 a Dornbirn.""";"""Riunione al secondo piano, ascensore disponibile per accessibilitÖ.""";"""Incontro per discutere del piano didattico annuale e delle attivitÖ extra-curriculari proposte dai docenti.""";Educazione, Scuola, Formazione;"""Workshop di fotografia molto utile, ho migliorato le mie tecniche di scatto. Bellissime location.""";4;;
Giornata di volontariato;ATTIVITA;17/01/2024;;10:00;17/01/2024;11:02;Via Frattina, Roma, Italia;+1;"""Prepara l'attrezzatura per la giornata di volontariato alle 10:00 a Roma.""";"""Si raccomanda abbigliamento comodo per attivitÖ fisica.""";"""Giornata dedicata al volontariato in un rifugio per animali, aiutando nella cura e nel mantenimento.""";Volontariato, Sociale;"""Appuntamento dal dentista tranquillo, nessun problema. Clinica moderna e personale cordiale.""";3;;
Seminario sulla sostenibilitÖ;EVENTO;17/01/2024;;09:00;17/01/2024;18:30;Ziegelofengasse 31, Vienna, Austria;+1;"""Rividi le note per il seminario sulla sostenibilitÖ alle 09:00 a Vienna.""";"""Materiale informativo disponibile all'ingresso. Si raccomanda puntualitÖ.""";"""Seminario interattivo sulla sostenibilitÖ, con esperti che discutono di energie rinnovabili e strategie eco-compatibili.""";SostenibilitÖ, Ambiente, Formazione;"""Viaggio d'affari produttivo, ho stretto importanti accordi. Roma ä sempre affascinante.""";4;;
Corso di sopravvivenza;ATTIVITA;17/01/2024;;08:00;17/01/2024;21:23;Via Giacomo Matteotti, San Marino, San Marino;+1;"""Verifica l'equipaggiamento per il corso di sopravvivenza alle 08:00 a San Marino.""";"""Equipaggiamento fornito. Si consiglia abbigliamento comodo.""";"""Corso di sopravvivenza in natura, una sfida avventurosa per imparare tecniche di sopravvivenza essenziali.""";Natura, Corso, Sport, Formazione;"""La maratona ä stata una sfida, ma l'atmosfera e il supporto del pubblico erano incredibili.""";5;;
